Name,G,W,L,IP,K,BB,WPCT,WHIP,ERA,Strike_percentage,GOAO,K_Per,BB_Per,HR_Per,ERA_Plus
劉展綸,1,0,0,0.0,0,2,,inf,inf,,,,inf,,0.0
張淳博,11,4,4,26.0,43,23,0.5,2.3846153846153846,4.615384615384616,1.42,1.8333333333333333,9.923076923076923,5.3076923076923075,1.153846153846154,129.99999999999997
施昶宇,5,0,1,4.0,4,10,0.0,4.75,18.0,1.1111111111111112,2.5,6.0,15.0,0.0,33.33333333333333
施竑志,7,1,2,11.33,6,6,0.3333333333333333,2.5595763459841128,10.591350397175638,1.6271186440677967,2.375,3.1774051191526924,3.1774051191526924,1.059135039717564,56.65000000000001
王睿謙,1,0,0,1.0,1,2,,7.0,30.0,,,6.0,12.0,12.0,20.0
許彥鵬,3,0,0,4.33,4,0,,1.6166281755196306,8.314087759815243,2.5714285714285716,0.8,5.542725173210162,0.0,0.0,72.16666666666667
許立霖,1,0,0,0.0,0,2,,inf,inf,,,,inf,,0.0
鄭鈞愷,9,1,2,17.67,23,6,0.3333333333333333,2.7164685908319184,9.168081494057724,1.7666666666666666,2.5,7.809847198641765,2.0373514431239386,0.3395585738539898,65.44444444444444
陳諭辰,4,0,1,3.66,7,7,0.0,5.191256830601093,14.754098360655739,0.5625,1.0,11.475409836065573,11.475409836065573,0.0,40.666666666666664
黃仕樂,3,1,1,6.0,12,2,0.5,1.1666666666666667,9.0,4.142857142857143,inf,12.0,2.0,0.0,66.66666666666666
黃羿齊,9,0,4,15.34,16,18,0.0,2.6727509778357237,8.604954367666231,1.0636363636363637,2.3333333333333335,6.258148631029988,7.040417209908735,0.0,69.72727272727273
